Fecha;Concepto;Importe
05/06/2026;NETFLIX.COM *1234;-15,99
05/07/2026;NETFLIX.COM *1234;-15,99
05/08/2026;NETFLIX.COM *9881;-15,99
12/06/2026;SPOTIFY AB;-10,99
12/07/2026;SPOTIFY P1;-10,99
12/08/2026;SPOTIFY AB;-10,99
01/06/2026;AMAZON PRIME *8821;-4,99
01/07/2026;AMAZON PRIME *8821;-4,99
01/08/2026;AMAZON PRIME *8821;-4,99
20/06/2026;DISNEY PLUS;-8,99
20/07/2026;DISNEY PLUS;-8,99
20/08/2026;DISNEY PLUS;-8,99
03/06/2026;ORANGE ESPANA MOVIL;-25,50
03/07/2026;ORANGE ESPANA MOVIL;-25,50
03/08/2026;ORANGE ESPANA MOVIL;-26,00
15/06/2026;COMISION MANTENIMIENTO CUENTA;-6,00
15/07/2026;COMISION MANTENIMIENTO CUENTA;-6,00
15/08/2026;CUOTA TARJETA VISA;-30,00
22/06/2026;MERCADONA SEVILLA; -62,40
08/07/2026;BIZUM DE ANA G.;150,00
18/07/2026;TRANSFERENCIA NOMINA EMPRESA SL;1.850,00
28/06/2026;BASIC FIT *4410;-29,99
28/07/2026;BASIC FIT *4410;-29,99
28/08/2026;BASIC FIT *4410;-29,99
10/06/2026;HBO MAX;-9,99
10/07/2026;HBO MAX;-9,99
10/08/2026;MAX COM;-9,99
02/06/2026;IBERDROLA CLIENTES;-78,32
02/07/2026;IBERDROLA CLIENTES;-81,10
02/08/2026;IBERDROLA CLIENTES;-74,55
