Fecha;Fecha valor;Concepto;Importe;Saldo
01/06/2026;01/06/2026;TRANSFERENCIA NOMINA EMPRESA SL;1.450,00;3.795,67
03/06/2026;03/06/2026;MANTENIMIENTO CUENTA;-6,00;3.789,67
03/06/2026;03/06/2026;CUOTA TARJETA VISA;-3,50;3.786,17
03/06/2026;03/06/2026;UBER *TRIP;-17,43;3.768,74
03/06/2026;03/06/2026;SUPERMERCADO DIA 112 *7912;-12,67;3.756,07
05/06/2026;05/06/2026;APPLE.COM/BILL  *4821;-9,99;3.746,08
05/06/2026;05/06/2026;BIZUM RECIBIDO PEPE *4257;29,65;3.775,73
06/06/2026;07/06/2026;NETFLIX.COM;-12,74;3.762,99
06/06/2026;06/06/2026;GASOLINERA REPSOL;-58,61;3.704,38
06/06/2026;06/06/2026;MERCADONA TIENDA 4218;-48,92;3.655,46
06/06/2026;06/06/2026;IKEA ONLINE;-80,76;3.574,70
07/06/2026;07/06/2026;SPOTIFY AB P1*88A2;-10,99;3.563,71
07/06/2026;07/06/2026;SUPERMERCADO DIA 112;-31,21;3.532,50
07/06/2026;07/06/2026;FARMACIA CENTRAL;-10,92;3.521,58
08/06/2026;09/06/2026;AMAZON PRIME*AB12;-4,99;3.516,59
09/06/2026;09/06/2026;SUPERMERCADO DIA 112;-12,39;3.504,20
09/06/2026;09/06/2026;ZARA.COM PEDIDO;-39,34;3.464,86
09/06/2026;09/06/2026;FARMACIA CENTRAL;-17,13;3.447,73
11/06/2026;11/06/2026;PAYPAL *STEAM GAMES;-38,14;3.409,59
12/06/2026;13/06/2026;ADOBE SYSTEMS *CC;-24,99;3.384,60
12/06/2026;12/06/2026;CABIFY*RIDE;-8,72;3.375,88
12/06/2026;12/06/2026;FARMACIA CENTRAL;-18,34;3.357,54
12/06/2026;12/06/2026;UBER *TRIP;-8,28;3.349,26
14/06/2026;14/06/2026;BIZUM RECIBIDO PEPE;15,02;3.364,28
